Date,Extent,Year, Month, Day,     Extent_,    Missing, Source Data,hemisphere
10/26/78,10.231,1978,10,26,10.231,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781026_n07_v1.1_n.bin'],north
10/28/78,10.42,1978,10,28,10.42,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781028_n07_v1.1_n.bin'],north
10/30/78,10.557,1978,10,30,10.557,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781030_n07_v1.1_n.bin'],north
11/1/78,10.67,1978,11,1,10.67,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781101_n07_v1.1_n.bin'],north
11/3/78,10.777,1978,11,3,10.777,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781103_n07_v1.1_n.bin'],north
11/5/78,10.968,1978,11,5,10.968,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781105_n07_v1.1_n.bin'],north
11/7/78,11.08,1978,11,7,11.08,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781107_n07_v1.1_n.bin'],north
11/9/78,11.189,1978,11,9,11.189,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781109_n07_v1.1_n.bin'],north
11/11/78,11.314,1978,11,11,11.314,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781111_n07_v1.1_n.bin'],north
11/13/78,11.46,1978,11,13,11.46,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781113_n07_v1.1_n.bin'],north
11/15/78,11.539,1978,11,15,11.539,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781115_n07_v1.1_n.bin'],north
11/17/78,11.696,1978,11,17,11.696,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781117_n07_v1.1_n.bin'],north
11/19/78,11.87,1978,11,19,11.87,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781119_n07_v1.1_n.bin'],north
11/21/78,12.053,1978,11,21,12.053,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781121_n07_v1.1_n.bin'],north
11/23/78,12.274,1978,11,23,12.274,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781123_n07_v1.1_n.bin'],north
11/25/78,12.441,1978,11,25,12.441,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781125_n07_v1.1_n.bin'],north
11/27/78,12.662,1978,11,27,12.662,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781127_n07_v1.1_n.bin'],north
11/29/78,12.684,1978,11,29,12.684,0, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1978/nt_19781129_n07_v1.1_n.bin'],north
